"critic", "audience"
86%,87%
61%,20%
97%,84%
60%,68%
77%,94%
28%,64%
86%,82%
9%,45%
37%,22%
24%,36%
15%,18%
32%,81%
97%,93%
90%,67%
91%,71%
4%,9%
21%,10%
25%,21%
75%,40%
31%,60%
3%,17%
17%,30%
49%,19%
25%,26%
61%,70%
63%,29%
10%,25%
24%,22%
4%,22%
11%,15%
0%,8%
12%,28%
86%,68%
61%,50%
72%,77%
39%,67%
20%,34%
0%,47%
28%,39%
18%,31%
9%,22%
47%,37%
11%,30%
40%,53%
76%,81%
86%,57%
50%,50%
22%,39%
34%,42%
9%,26%
36%,67%
28%,53%
27%,48%
15%,17%
66%,60%
62%,42%
59%,56%
61%,84%
46%,76%
82%,74%
19%,81%
22%,42%
91%,85%
33%,50%
13%,48%
28%,50%
81%,74%
53%,67%
25%,77%
72%,70%
23%,52%
40%,35%
58%,82%
92%,82%
56%,75%
69%,85%
91%,85%
68%,37%
71%,54%
56%,47%
5%,41%
0%,25%
17%,31%
97%,75%
65%,35%
33%,29%
10%,35%
67%,81%
61%,53%
93%,80%
90%,85%
86%,55%
60%,62%
77%,54%
80%,84%
75%,80%
83%,72%
78%,80%
